tract_id,median_income,pct_higher_edu,median_house_value,pct_in_labor_force,pct_owner_occupied,pct_renter_occupied,pct_vacant,pct_white,pct_black,pop_density,total_pop,distance_to_downtown,area_sqkm,compactness
Census Tract 1510,0.728575829202548,0.8307186285661877,0.931489334927589,0.695459896677987,0.5584692351830479,-0.5584692351830477,0.09788338599150134,0.7558594827130622,-0.7017772858847602,-0.115391761331208,-0.16242567397242422,-0.3063246062458699,-0.1962174745501318,-0.05375540526590271
Census Tract 1511,0.7661910990078971,0.662106825441524,0.9526695591330987,0.7184562752911531,0.7465024646212656,-0.7465024646212658,-0.01877262853594008,0.6391724360355738,-0.7474946525301978,-0.2993375274881926,1.630615627907954,-0.48230998845004897,-0.12116472207132725,-0.5207284678857603
Census Tract 1512,0.3814174674240916,0.014301664643450979,0.29406544455224937,0.6123676487176144,0.9106301927814917,-0.9106301927814917,-1.1167765121299988,0.805944913284398,-0.6661842952434638,-0.39173281549449357,-0.8151614168824514,-0.6295870671362214,-0.18590901661102743,-0.35287092412378973
Census Tract 1542,-0.5146069957844236,-0.26173074691617626,-0.4704397910561485,0.43499765061856865,-0.6222759553857676,0.6222759553857679,0.46779212564978173,-1.1975747843402749,1.7059006822325558,0.43259834149006277,1.832118058664592,-1.0377955162151518,-0.19421823640400057,-0.7872932679388936
Census Tract 1545,-0.7161673690508923,-0.5569432697002473,-0.5037230005219495,0.021525734059070146,-1.1507181871403902,1.1507181871403909,-0.012748010425003516,0.18361465290691906,0.07699667579564388,0.8408513291992374,0.13090901211264871,-1.2467072954786025,-0.2284227954965177,1.6359056107694856
Census Tract 1546,-0.41808201352192165,-0.41069324774591587,-0.4543024773757602,-0.1456656733698135,-0.3768410904009779,0.3768410904009779,0.5161555778349637,-0.23637921700315287,0.1392430697569209,-0.026536788580245194,-0.477562262401658,-1.1031882593786584,-0.20950545085164526,0.5268065764187319
Census Tract 1547,0.30408695682523984,-0.046515426859805774,-0.11037597956248356,0.6570736665605533,1.1532461024938463,-1.153246102493846,-0.9639706025991739,0.7725017067887046,-0.5361726307267392,-0.20364868250307475,1.5546393015570905,-0.8263508234851237,-0.14195900791250324,-0.9006505712600036
Census Tract 1548,0.26389277528005295,-0.3932264444543043,-0.2999894153070466,0.33600160389329475,1.2181742334572758,-1.2181742334572758,0.5419637225139539,0.9499025206390834,-0.6936017426907524,0.365989645420476,0.4988986971337875,-0.875762646870993,-0.21071998307603387,0.9515583326702632
Census Tract 1549,-0.5067228941797765,-0.6527347762762049,-0.4502681489556631,-0.31089901664486636,-0.027383321000286828,0.027383321000286828,-0.9729588912375289,0.6029323956157019,-0.49139967834668236,0.35512463309778497,-0.20074416900155537,-1.0602885641538027,-0.22086421716108015,1.0298188666515133
Census Tract 1550,-0.44044486246594405,-0.9150625618773357,-0.42202785001498344,0.1476804340521784,-0.29963830582988865,0.29963830582988865,0.31396402557882924,-0.25195151907051727,0.6365118260734628,0.20338803794101257,0.6244248015395619,-1.1688837078442593,-0.20122493334339786,-0.25012630299099003
